casetas,tramo_que_cobra,tipo_vehiculo,costo
Jorobas,Jorobas-Tepeji,camion_5_ejes,194.0
Jorobas,Circuito Exterior Mexiquense,camion_5_ejes,186.0
Jorobas,Circuito Exterior Mexiquense,camion_5_ejes,194.0
San Marcos,Mexico-San Martin Texmelucan,camion_5_ejes,456.0
San Marcos,Mexico-San Martin Texmelucan,camion_5_ejes,480.0
Polotitlan,Tepeji-Polotitlan,camion_5_ejes,258.0
Polotitlan,Tepeji-Polotitlan,camion_5_ejes,290.0
Chalco,Mexico-Chalco,camion_5_ejes,51.0
Chalco,Mexico-Chalco,camion_5_ejes,57.0
Tehuacan,Cuacnopalan-Tehuacan,camion_5_ejes,113.0
Tehuacan,Cuacnopalan-Tehuacan,camion_5_ejes,119.0
Miahuatlan,Tehuacan-Miahuatlan,camion_5_ejes,64.0
Miahuatlan,Tehuacan-Miahuatlan,camion_5_ejes,67.0
Suchixtlahuaca,Miahuatlan-Nochixtlan,camion_5_ejes,174.0
Suchixtlahuaca,Miahuatlan-Nochixtlan,camion_5_ejes,184.0
Suchixtlahuaca,Miahuatlan-Coixtlahuaca,camion_5_ejes,84.0
Suchixtlahuaca,Miahuatlan-Coixtlahuaca,camion_5_ejes,89.0
Huitzo,Nochixtlan-Oaxaca,camion_5_ejes,230.0
Huitzo,Nochixtlan-Oaxaca,camion_5_ejes,230.0
Huitzo,Nochixtlan-Huitzo,camion_5_ejes,174.0
Huitzo,Nochixtlan-Huitzo,camion_5_ejes,184.0
Huitzo,Huitzo-Oaxaca,camion_5_ejes,60.0
Huitzo,Huitzo-Oaxaca,camion_5_ejes,64.0
Huitzo,Huitzo-Nochixtlan,camion_5_ejes,184.0
San Martin a Puebla,San Martin Texmelucan-Puebla,camion_5_ejes,173.0
San Martin a Puebla,San Martin Texmelucan-Puebla,camion_5_ejes,182.0
El Hongo,La Rumorosa-Tecate,camion_5_ejes,242.0
El Hongo,La Rumorosa-Tecate,camion_5_ejes,252.0
El Hongo,El Hongo-Tecate,camion_5_ejes,123.0
El Hongo,El Hongo-Tecate,camion_5_ejes,127.0
El Hongo,La Rumorosa-El Hongo,camion_5_ejes,115.0
El Hongo,La Rumorosa-El Hongo,camion_5_ejes,127.0
San Jose del Cabo,Aeropuerto Los Cabos-San Jose del Cabo,camion_5_ejes,116.0
San Jose del Cabo,Cabo San Lucas-San JosÃ© del Cabo,camion_5_ejes,189.0
San Jose del Cabo,El Mangle-San JosÃ© del Cabo,camion_5_ejes,205.0
Tehuantepec,Salina Cruz-Tehuantepec,camion_5_ejes,95.0
Tehuantepec,Salina Cruz-Tehuantepec,camion_5_ejes,100.0
Ixtepec,Tehuantepec- la Ventosa,camion_5_ejes,190.0
Ixtepec,Tehuantepec- la Ventosa,camion_5_ejes,195.0
Ixtepec,Tehuantepec- Ixtepec,camion_5_ejes,95.0
Ixtepec,Tehuantepec- Ixtepec,camion_5_ejes,100.0
Ixtepec,Ixtepec - la Ventosa,camion_5_ejes,95.0
Ixtepec,Ixtepec - la Ventosa,camion_5_ejes,100.0
Durango,Libramiento de Durango-Ent. Otinapa,camion_5_ejes,179.0
Llano Grande,Ent. Otinapa-Ent. Piloncillo,camion_5_ejes,265.0
Coscomate,Ent. Piloncillo-Santa Lucia,camion_5_ejes,835.0
Mesillas,Santa LucÃ­a-MazatlÃ¡n (Villa UniÃ³n),camion_5_ejes,440.0
Mesillas,Santa LucÃ­a-La Concordia,camion_5_ejes,326.0
Mesillas,La Concordia-MazatlÃ¡n (Villa UniÃ³n),camion_5_ejes,113.0
Chamapa,Chamapa-Lecheria,camion_5_ejes,128.0
Chamapa,Chamapa-Lecheria,camion_5_ejes,121.0
Chamapa,Chamapa-Ent. San Miguel,camion_5_ejes,108.0
Chamapa,Chamapa-Ent. San Miguel,camion_5_ejes,103.0
Chamapa,Chamapa-Lago de Guadalupe,camion_5_ejes,106.0
Chamapa,Chamapa-Lago de Guadalupe,camion_5_ejes,101.0
Chamapa,Chamapa-Atizapan,camion_5_ejes,85.0
Chamapa,Chamapa-Atizapan,camion_5_ejes,82.0
Chamapa,Chamapa-Madin,camion_5_ejes,57.0
Chamapa,Chamapa-Madin,camion_5_ejes,54.0
Chamapa,Chamapa-San Mateo Nopala,camion_5_ejes,27.0
Chamapa,Chamapa-San Mateo Nopala,camion_5_ejes,27.0
Chamapa,Chamapa-Cipreses,camion_5_ejes,13.0
Chamapa,Chamapa-Cipreses,camion_5_ejes,13.0
Cipreses,Cipreses-Lecheria,camion_5_ejes,115.0
Cipreses,Cipreses-Lecheria,camion_5_ejes,109.0
Cipreses,Cipreses-Ent. San Miguel,camion_5_ejes,92.0
Cipreses,Cipreses-Ent. San Miguel,camion_5_ejes,85.0
Cipreses,Cipreses-Lago de Guadalupe,camion_5_ejes,91.0
Cipreses,Cipreses-Lago de Guadalupe,camion_5_ejes,85.0
Cipreses,Cipreses-Atizapan,camion_5_ejes,68.0
Cipreses,Cipreses-Atizapan,camion_5_ejes,56.0
Cipreses,Cipreses-Madin,camion_5_ejes,45.0
Cipreses,Cipreses-Madin,camion_5_ejes,42.0
Cipreses,Cipreses-San Mateo Nopala,camion_5_ejes,15.0
Cipreses,Cipreses-San Mateo Nopala,camion_5_ejes,15.0
San Mateo Nopala,San Mateo Nopala-Lecheria,camion_5_ejes,104.0
San Mateo Nopala,San Mateo Nopala-Lecheria,camion_5_ejes,100.0
San Mateo Nopala,San Mateo Nopala-Ent. San Miguel,camion_5_ejes,82.0
San Mateo Nopala,San Mateo Nopala-Ent. San Miguel,camion_5_ejes,81.0
San Mateo Nopala,Sn Mateo Nopala-Lago de Guadalupe,camion_5_ejes,76.0
San Mateo Nopala,Sn Mateo Nopala-Lago de Guadalupe,camion_5_ejes,73.0
San Mateo Nopala,San Mateo Nopala-Atizapan,camion_5_ejes,53.0
San Mateo Nopala,San Mateo Nopala-Atizapan,camion_5_ejes,49.0
San Mateo Nopala,San Mateo Nopala-Madin,camion_5_ejes,31.0
San Mateo Nopala,San Mateo Nopala-Madin,camion_5_ejes,30.0
Madin,Madin-Lecheria,camion_5_ejes,68.0
Madin,Madin-Lecheria,camion_5_ejes,62.0
Madin,Madin-Ent. San Miguel,camion_5_ejes,47.0
Madin,Madin-Ent. San Miguel,camion_5_ejes,44.0
Madin,Madin-Lago de Guadalupe,camion_5_ejes,44.0
Madin,Madin-Lago de Guadalupe,camion_5_ejes,42.0
Madin,Madin-Atizapan,camion_5_ejes,21.0
Madin,Madin-Atizapan,camion_5_ejes,19.0
Atizapan,Atizapan-Lecheria,camion_5_ejes,45.0
Atizapan,Atizapan-Lecheria,camion_5_ejes,42.0
Atizapan,Atizapan-Ent. San Miguel,camion_5_ejes,27.0
Atizapan,Atizapan-Ent. San Miguel,camion_5_ejes,27.0
Atizapan,Atizapan-Lago de Guadalupe,camion_5_ejes,23.0
Atizapan,Atizapan-Lago de Guadalupe,camion_5_ejes,22.0
Lago de Guadalupe,Lago de Guadalupe-Ent. San Miguel,camion_5_ejes,8.0
Lago de Guadalupe,Lago de Guadalupe-Ent. San Miguel,camion_5_ejes,7.0
Lago de Guadalupe,Lago de Guadalupe-Lecheria,camion_5_ejes,25.0
Lago de Guadalupe,Lago de Guadalupe-Lecheria,camion_5_ejes,23.0
Ent.San Miguel,Ent.San Miguel-Lecheria,camion_5_ejes,23.0
Ent.San Miguel,Ent.San Miguel-Lecheria,camion_5_ejes,23.0
Lomas Verdes,Lomas Verdes-LecherÃ­a,camion_5_ejes,107.0
Lomas Verdes,Lomas Verdes-LecherÃ­a,camion_5_ejes,103.0
Lomas Verdes,Lomas Verdes-Ent.San Miguel,camion_5_ejes,88.0
Lomas Verdes,Lomas Verdes-Ent.San Miguel,camion_5_ejes,83.0
Lomas Verdes,Lomas Verdes-Lago de Guadalupe,camion_5_ejes,78.0
Lomas Verdes,Lomas Verdes-Lago de Guadalupe,camion_5_ejes,74.0
Lomas Verdes,Lomas Verdes-AtizapÃ¡n,camion_5_ejes,57.0
Lomas Verdes,Lomas Verdes-AtizapÃ¡n,camion_5_ejes,54.0
Lomas Verdes,Lomas Verdes-Madin,camion_5_ejes,36.0
Lomas Verdes,Lomas Verdes-Madin,camion_5_ejes,35.0
Lomas Verdes,Lomas Verdes-San Mateo Nopala,camion_5_ejes,42.0
Lomas Verdes,Lomas Verdes-San Mateo Nopala,camion_5_ejes,40.0
Lomas Verdes,Lomas Verdes-Cipreses,camion_5_ejes,57.0
Lomas Verdes,Lomas Verdes-Cipreses,camion_5_ejes,54.0
Lomas Verdes,Lomas Verdes-Chamapa,camion_5_ejes,74.0
Lomas Verdes,Lomas Verdes-Chamapa,camion_5_ejes,70.0
El Zacatal,Zacatal-Ciudad del Carmen,camion_5_ejes,282.0
Bermejillo,Gomez Palacio-Est Banderas,camion_5_ejes,251.0
Ceballos,Est Banderas-Corralitos,camion_5_ejes,258.0
Plan de Ayala,Loma Bonita-Plan de Ayala,camion_5_ejes,258.0
La Cuchilla,Matamoros-La Cuchilla,camion_5_ejes,162.0
Lagos de Moreno,Lagos de Moreno - Villa de Arriaga,camion_5_ejes,308.0
Ozumba,Amecameca - Nepantla,camion_5_ejes,110.0
Aeropuerto Los Cabos,San Jose del Cabo-Aeropuerto Los Cabos,camion_5_ejes,125.0
Aeropuerto Los Cabos,Cabo San Lucas-Aeropuerto Los Cabos,camion_5_ejes,278.0
Aeropuerto Los Cabos,El Mangle-Aeropuerto Los Cabos,camion_5_ejes,296.0
San Lucas,Aeropuerto Los Cabos-Cabo San Lucas,camion_5_ejes,278.0
San Lucas,San Jose del Cabo-Cabo San Lucas,camion_5_ejes,214.0
San Lucas,El Mangle-Cabo San Lucas,camion_5_ejes,128.0
El Mangle,Aeropuerto Los Cabos-El Mangle,camion_5_ejes,296.0
El Mangle,San JosÃ© del Cabo-El Mangle,camion_5_ejes,232.0
El Mangle,Cabo San Lucas-El Mangle,camion_5_ejes,128.0
San Jose del Cabo,Aeropuerto Los Cabos-San Jose del Cabo,camion_5_ejes,125.0
San Jose del Cabo,Cabo San Lucas-San JosÃ© del Cabo,camion_5_ejes,214.0
San Jose del Cabo,El Mangle-San JosÃ© del Cabo,camion_5_ejes,232.0
Durango,Libramiento de Durango-Ent. Otinapa,camion_5_ejes,179.0
Llano Grande,Ent. Otinapa-Ent. Piloncillo,camion_5_ejes,269.0
Coscomate,Ent. Piloncillo-Santa Lucia,camion_5_ejes,849.0
Mesillas,Santa LucÃ­a-MazatlÃ¡n (Villa UniÃ³n),camion_5_ejes,448.0
Mesillas,Santa LucÃ­a-La Concordia,camion_5_ejes,332.0
Mesillas,La Concordia-MazatlÃ¡n (Villa UniÃ³n),camion_5_ejes,115.0
Tlalpan,Mexico - Cuernavaca,camion_5_ejes,333.0
Alpuyeca,Cuernavaca-Alpuyeca,camion_5_ejes,100.0
Paso Morelos,Pte de Ixtla-Chilpancingo,camion_5_ejes,392.0
Paso Morelos,Pte de Ixtla-Paso Morelos,camion_5_ejes,157.0
Paso Morelos,Paso Morelos-Chilpancingo,camion_5_ejes,238.0
Palo Blanco,Chilpancingo-Tierra Colorada,camion_5_ejes,229.0
La Venta,Tierra Colorada-Acapulco,camion_5_ejes,222.0
Xochitepec,Cuernavaca-Xochitepec,camion_5_ejes,33.0
Aeropuerto,Cuernavaca-Aeropuerto,camion_5_ejes,29.0
Aeropuerto,Aeropuerto-Cuernavaca,camion_5_ejes,29.0
Emiliano Zapata,Cuernavaca-Central de Abastos,camion_5_ejes,17.0
Tampico,Ent Cd Valles-Ent Altamira,camion_5_ejes,93.0
Tampico,Ent Cd Valles-Loma Real,camion_5_ejes,46.0
Tampico,Loma Real-Ent Altamira,camion_5_ejes,46.0
Cuitlahuac,Cordoba-La Tinaja,camion_5_ejes,202.0
Cuitlahuac,Cordoba-Cuitlahuac,camion_5_ejes,67.0
Cuitlahuac,Cuitlahuac-La Tinaja,camion_5_ejes,135.0
Paso del Toro,La Tinaja-Veracruz,camion_5_ejes,210.0
Paso del Toro,La Tinaja-Paso del Toro,camion_5_ejes,178.0
Paso del Toro,Paso del Toro-Veracruz,camion_5_ejes,34.0
Cosamaloapan,La Tinaja-Isla,camion_5_ejes,408.0
Cosamaloapan,La Tinaja-Cosamaloapan,camion_5_ejes,330.0
Cosamaloapan,Cosamaloapan-Isla,camion_5_ejes,77.0
Sayula,Isla-Cosoleacaque,camion_5_ejes,396.0
Sayula,Isla-Acayucan,camion_5_ejes,223.0
Sayula,Acayucan-Cosoleacaque,camion_5_ejes,162.0
Chichimequillas,Ent. Aut. Mex. Qro.-Ent. Qro. Slp,camion_5_ejes,89.0
Seybaplaya,Champoton-Campeche,camion_5_ejes,202.0
Seybaplaya,Villa Madero-Seybaplaya,camion_5_ejes,70.0
Seybaplaya,Seybaplaya-Campeche,camion_5_ejes,132.0
Los Chorros,La Carbonera-Puerto Mexico,camion_5_ejes,223.0
Huachichil,Ent. Huachichil-Ent. Tramo Los Chorros,camion_5_ejes,175.0
Estacion Don (La Jaula),Estacion Don-Navojoa,camion_5_ejes,209.0
Fundicion,Navojoa-Cd Obregon,camion_5_ejes,209.0
"Tres Marias ""A""",Tres Marias-Cuernavaca,camion_5_ejes,168.0
Esperanza,Cd Obregon-Guaymas,camion_5_ejes,209.0
Guaymas,Libramiento Guaymas,camion_5_ejes,114.0
Hermosillo,Hermosillo-Magdalena,camion_5_ejes,209.0
Magdalena,Libramiento Magdalena,camion_5_ejes,70.0
Bermejillo,Gomez Palacio-Est Banderas,camion_5_ejes,263.0
Ceballos,Est Banderas-Corralitos,camion_5_ejes,270.0
Plan de Ayala,Loma Bonita-Plan de Ayala,camion_5_ejes,270.0
La Cuchilla,Matamoros-La Cuchilla,camion_5_ejes,169.0
Sanchez Magallanes (Aguadulce ),Agua Dulce-Cardenas,camion_5_ejes,209.0
Sanchez Magallanes (Aguadulce ),Agua Dulce-Entronque Magallanes,camion_5_ejes,106.0
Sanchez Magallanes (Aguadulce ),Entronque Magallanes-Cardenas,camion_5_ejes,106.0
Totomoxtle,Totomoxtle-Ent. el Pital,camion_5_ejes,133.0
Totomoxtle,Ent. Gutierrez Zamora-Nautla,camion_5_ejes,38.0
Las Choapas,Ent. Las Choapas-Ent. Nuevo Sacrificio,camion_5_ejes,193.0
Las Choapas,Ent. Las Choapas-Ent. Las Choapas Ii,camion_5_ejes,46.0
Las Choapas,Las Choapas Ii-Ent.Nuevo Sacrificio,camion_5_ejes,148.0
Malpasito,Ent. Nuevo Sacrificio-Ent. Raudales,camion_5_ejes,193.0
Malpasito,Ent. Nuevo Sacrificio-Malpasito,camion_5_ejes,104.0
Malpasito,Malpasito-Raudales,camion_5_ejes,91.0
Ocozocoautla (Ocuilapa),Ent. Raudales-Ent. Ocozocoautla,camion_5_ejes,193.0
Villagran,Villagran-Salamanca,camion_5_ejes,109.0
Ing. Francisco Velasco DurÃ¡n,Cuernavaca-Pte de Ixtla,camion_5_ejes,147.0
Alpuyeca,Alpuyeca-Pte de Ixtla,camion_5_ejes,34.0
Cerro Gordo,Celaya-Ent. Cerro Gordo,camion_5_ejes,169.0
Cerro Gordo,Ent. Cerro Gordo-Irapuato,camion_5_ejes,144.0
Cerro Gordo,Ent. Cerro Gordo-Salamanca,camion_5_ejes,75.0
San Marcos Bis,Mexico-Circuito Exterior Mexiquense,camion_5_ejes,61.0
Nodo Popotla,La Mision-Corredor 2000,camion_5_ejes,82.0
Lagos de Moreno,Lagos de Moreno - Villa de Arriaga,camion_5_ejes,322.0
Ozumba,Amecameca - Nepantla,camion_5_ejes,110.0
Aeropuerto Los Cabos,San Jose del Cabo-Aeropuerto Los Cabos,camion_5_ejes,131.0
Aeropuerto Los Cabos,Cabo San Lucas-Aeropuerto Los Cabos,camion_5_ejes,291.0
Aeropuerto Los Cabos,El Mangle-Aeropuerto Los Cabos,camion_5_ejes,310.0
San Lucas,Aeropuerto Los Cabos-Cabo San Lucas,camion_5_ejes,291.0
San Lucas,San Jose del Cabo-Cabo San Lucas,camion_5_ejes,223.0
San Lucas,El Mangle-Cabo San Lucas,camion_5_ejes,134.0
El Mangle,Aeropuerto Los Cabos-El Mangle,camion_5_ejes,310.0
El Mangle,San JosÃ© del Cabo-El Mangle,camion_5_ejes,243.0
El Mangle,Cabo San Lucas-El Mangle,camion_5_ejes,134.0
Apaseo,Celaya-Apaseo,camion_5_ejes,141.0
Tepoztlan,La Pera - Oaxtepec,camion_5_ejes,94.0
Oacalco,Oaxtepec - Cuautla,camion_5_ejes,94.0
Amozoc,Puebla-Acatzingo,camion_5_ejes,263.0
Amozoc,Puebla-Amozoc,camion_5_ejes,130.0
Amozoc-Perote,Puebla-Ent. Amozoc-Perote,camion_5_ejes,46.0
Esperanza,Acatzingo-Cd Mendoza,camion_5_ejes,544.0
Esperanza,Acatzingo-Esperanza,camion_5_ejes,271.0
Esperanza,Esperanza-Cd. Mendoza,camion_5_ejes,271.0
Iguala,Puente de Ixtla-Iguala,camion_5_ejes,319.0
Playas de Tijuana,Tijuana-Rosarito,camion_5_ejes,97.0
Rosarito,Rosarito-La Mision,camion_5_ejes,97.0
Ensenada,La Mision-Ensenada,camion_5_ejes,100.0
Tepotzotlan,Tepalcapa - Tepeji,camion_5_ejes,376.0
Salamanca,Celaya-Irapuato,camion_5_ejes,312.0
Salamanca,Celaya-Salamanca,camion_5_ejes,240.0
Salamanca,Salamanca-Irapuato,camion_5_ejes,93.0
Fortin,Cd. Mendoza - Cordoba,camion_5_ejes,130.0
Fortin,Cd. Mendoza - Fortin,camion_5_ejes,83.0
Palmillas,Tepeji-Palmillas,camion_5_ejes,352.0
Zacapalco,Zacapalco-Rancho Viejo,camion_5_ejes,105.0
Taxco,Rancho Viejo-Taxco,camion_5_ejes,45.0
Queretaro,Queretaro-Celaya,camion_5_ejes,309.0
Queretaro Bis,Queretaro-Ent. Lib Suroeste de Qro,camion_5_ejes,8.0
Queretaro Bis,Ent. Lib Suroeste de Qro-Celaya,camion_5_ejes,276.0
Jorobas,Jorobas-Tepeji,camion_5_ejes,203.0
Jorobas,Circuito Exterior Mexiquense,camion_5_ejes,203.0
San Marcos,Mexico-San Martin Texmelucan,camion_5_ejes,502.0
Polotitlan,Tepeji-Polotitlan,camion_5_ejes,303.0
Chalco,Mexico-Chalco,camion_5_ejes,60.0
Tehuacan,Cuacnopalan-Tehuacan,camion_5_ejes,125.0
Miahuatlan,Tehuacan-Miahuatlan,camion_5_ejes,70.0
Suchixtlahuaca,Miahuatlan-Nochixtlan,camion_5_ejes,193.0
Suchixtlahuaca,Miahuatlan-Coixtlahuaca,camion_5_ejes,93.0
Huitzo,Nochixtlan-Oaxaca,camion_5_ejes,233.0
Huitzo,Nochixtlan-Huitzo,camion_5_ejes,193.0
Huitzo,Huitzo-Oaxaca,camion_5_ejes,67.0
Huitzo,Huitzo-Nochixtlan,camion_5_ejes,193.0
San Martin a Puebla,San Martin Texmelucan-Puebla,camion_5_ejes,190.0
El Hongo,La Rumorosa-Tecate,camion_5_ejes,264.0
El Hongo,El Hongo-Tecate,camion_5_ejes,132.0
El Hongo,La Rumorosa-El Hongo,camion_5_ejes,132.0
San Jose del Cabo,Aeropuerto Los Cabos-San Jose del Cabo,camion_5_ejes,131.0
San Jose del Cabo,Cabo San Lucas-San JosÃ© del Cabo,camion_5_ejes,223.0
San Jose del Cabo,El Mangle-San JosÃ© del Cabo,camion_5_ejes,243.0
Tehuantepec,Salina Cruz-Tehuantepec,camion_5_ejes,105.0
Ixtepec,Tehuantepec- la Ventosa,camion_5_ejes,204.0
Ixtepec,Tehuantepec- Ixtepec,camion_5_ejes,105.0
Ixtepec,Ixtepec - la Ventosa,camion_5_ejes,105.0
Durango,Libramiento de Durango-Ent. Otinapa,camion_5_ejes,188.0
Llano Grande,Ent. Otinapa-Ent. Piloncillo,camion_5_ejes,282.0
Coscomate,Ent. Piloncillo-Santa Lucia,camion_5_ejes,889.0
Mesillas,Santa LucÃ­a-MazatlÃ¡n (Villa UniÃ³n),camion_5_ejes,468.0
Mesillas,Santa LucÃ­a-La Concordia,camion_5_ejes,348.0
Mesillas,La Concordia-MazatlÃ¡n (Villa UniÃ³n),camion_5_ejes,121.0
Chamapa,Chamapa-Lecheria,camion_5_ejes,134.0
Chamapa,Chamapa-Ent. San Miguel,camion_5_ejes,113.0
Chamapa,Chamapa-Lago de Guadalupe,camion_5_ejes,111.0
Chamapa,Chamapa-Atizapan,camion_5_ejes,88.0
Chamapa,Chamapa-Madin,camion_5_ejes,60.0
Chamapa,Chamapa-San Mateo Nopala,camion_5_ejes,28.0
Chamapa,Chamapa-Cipreses,camion_5_ejes,13.0
Cipreses,Cipreses-Lecheria,camion_5_ejes,120.0
Cipreses,Cipreses-Ent. San Miguel,camion_5_ejes,96.0
Cipreses,Cipreses-Lago de Guadalupe,camion_5_ejes,96.0
Cipreses,Cipreses-Atizapan,camion_5_ejes,71.0
Cipreses,Cipreses-Madin,camion_5_ejes,47.0
Cipreses,Cipreses-San Mateo Nopala,camion_5_ejes,16.0
San Mateo Nopala,San Mateo Nopala-Lecheria,camion_5_ejes,108.0
San Mateo Nopala,San Mateo Nopala-Ent. San Miguel,camion_5_ejes,86.0
San Mateo Nopala,Sn Mateo Nopala-Lago de Guadalupe,camion_5_ejes,80.0
San Mateo Nopala,San Mateo Nopala-Atizapan,camion_5_ejes,55.0
San Mateo Nopala,San Mateo Nopala-Madin,camion_5_ejes,32.0
Madin,Madin-Lecheria,camion_5_ejes,71.0
Madin,Madin-Ent. San Miguel,camion_5_ejes,49.0
Madin,Madin-Lago de Guadalupe,camion_5_ejes,46.0
Madin,Madin-Atizapan,camion_5_ejes,22.0
Atizapan,Atizapan-Lecheria,camion_5_ejes,47.0
Atizapan,Atizapan-Ent. San Miguel,camion_5_ejes,28.0
Atizapan,Atizapan-Lago de Guadalupe,camion_5_ejes,24.0
Lago de Guadalupe,Lago de Guadalupe-Ent. San Miguel,camion_5_ejes,8.0
Lago de Guadalupe,Lago de Guadalupe-Lecheria,camion_5_ejes,26.0
Ent.San Miguel,Ent.San Miguel-Lecheria,camion_5_ejes,24.0
Lomas Verdes,Lomas Verdes-LecherÃ­a,camion_5_ejes,112.0
Lomas Verdes,Lomas Verdes-Ent.San Miguel,camion_5_ejes,92.0
Lomas Verdes,Lomas Verdes-Lago de Guadalupe,camion_5_ejes,82.0
Lomas Verdes,Lomas Verdes-AtizapÃ¡n,camion_5_ejes,60.0
Lomas Verdes,Lomas Verdes-Madin,camion_5_ejes,38.0
Lomas Verdes,Lomas Verdes-San Mateo Nopala,camion_5_ejes,44.0
Lomas Verdes,Lomas Verdes-Cipreses,camion_5_ejes,60.0
Lomas Verdes,Lomas Verdes-Chamapa,camion_5_ejes,77.0
El Zacatal,Zacatal-Ciudad del Carmen,camion_5_ejes,295.0
Tlalpan,Mexico - Cuernavaca,camion_5_ejes,357.0
Alpuyeca,Cuernavaca-Alpuyeca,camion_5_ejes,107.0
Paso Morelos,Pte de Ixtla-Chilpancingo,camion_5_ejes,417.0
Paso Morelos,Pte de Ixtla-Paso Morelos,camion_5_ejes,166.0
Paso Morelos,Paso Morelos-Chilpancingo,camion_5_ejes,253.0
Palo Blanco,Chilpancingo-Tierra Colorada,camion_5_ejes,244.0
La Venta,Tierra Colorada-Acapulco,camion_5_ejes,236.0
Xochitepec,Cuernavaca-Xochitepec,camion_5_ejes,35.0
Aeropuerto,Cuernavaca-Aeropuerto,camion_5_ejes,31.0
Aeropuerto,Aeropuerto-Cuernavaca,camion_5_ejes,31.0
Emiliano Zapata,Cuernavaca-Central de Abastos,camion_5_ejes,18.0
Tampico,Ent Cd Valles-Ent Altamira,camion_5_ejes,96.0
Tampico,Ent Cd Valles-Loma Real,camion_5_ejes,47.0
Tampico,Loma Real-Ent Altamira,camion_5_ejes,47.0
Cuitlahuac,Cordoba-La Tinaja,camion_5_ejes,208.0
Cuitlahuac,Cordoba-Cuitlahuac,camion_5_ejes,69.0
Cuitlahuac,Cuitlahuac-La Tinaja,camion_5_ejes,139.0
Paso del Toro,La Tinaja-Veracruz,camion_5_ejes,216.0
Paso del Toro,La Tinaja-Paso del Toro,camion_5_ejes,183.0
Paso del Toro,Paso del Toro-Veracruz,camion_5_ejes,35.0
Cosamaloapan,La Tinaja-Isla,camion_5_ejes,421.0
Cosamaloapan,La Tinaja-Cosamaloapan,camion_5_ejes,340.0
Cosamaloapan,Cosamaloapan-Isla,camion_5_ejes,80.0
Sayula,Isla-Cosoleacaque,camion_5_ejes,408.0
Sayula,Isla-Acayucan,camion_5_ejes,240.0
Sayula,Acayucan-Cosoleacaque,camion_5_ejes,168.0
Chichimequillas,Ent. Aut. Mex. Qro.-Ent. Qro. Slp,camion_5_ejes,91.0
Seybaplaya,Champoton-Campeche,camion_5_ejes,208.0
Seybaplaya,Villa Madero-Seybaplaya,camion_5_ejes,72.0
Seybaplaya,Seybaplaya-Campeche,camion_5_ejes,136.0
Los Chorros,La Carbonera-Puerto Mexico,camion_5_ejes,230.0
Huachichil,Ent. Huachichil-Ent. Tramo Los Chorros,camion_5_ejes,181.0
Estacion Don (La Jaula),Estacion Don-Navojoa,camion_5_ejes,215.0
Fundicion,Navojoa-Cd Obregon,camion_5_ejes,215.0
"Tres Marias ""A""",Tres Marias-Cuernavaca,camion_5_ejes,179.0
Esperanza,Cd Obregon-Guaymas,camion_5_ejes,215.0
Guaymas,Libramiento Guaymas,camion_5_ejes,118.0
Hermosillo,Hermosillo-Magdalena,camion_5_ejes,215.0
Magdalena,Libramiento Magdalena,camion_5_ejes,72.0
Bermejillo,Gomez Palacio-Est Banderas,camion_5_ejes,271.0
Ceballos,Est Banderas-Corralitos,camion_5_ejes,278.0
Plan de Ayala,Loma Bonita-Plan de Ayala,camion_5_ejes,278.0
La Cuchilla,Matamoros-La Cuchilla,camion_5_ejes,175.0
Sanchez Magallanes (Aguadulce ),Agua Dulce-Cardenas,camion_5_ejes,215.0
Sanchez Magallanes (Aguadulce ),Agua Dulce-Entronque Magallanes,camion_5_ejes,109.0
Sanchez Magallanes (Aguadulce ),Entronque Magallanes-Cardenas,camion_5_ejes,109.0
Totomoxtle,Totomoxtle-Ent. el Pital,camion_5_ejes,137.0
Totomoxtle,Ent. Gutierrez Zamora-Nautla,camion_5_ejes,39.0
Las Choapas,Ent. Las Choapas-Ent. Nuevo Sacrificio,camion_5_ejes,198.0
Las Choapas,Ent. Las Choapas-Ent. Las Choapas Ii,camion_5_ejes,47.0
Las Choapas,Las Choapas Ii-Ent.Nuevo Sacrificio,camion_5_ejes,152.0
Malpasito,Ent. Nuevo Sacrificio-Ent. Raudales,camion_5_ejes,198.0
Malpasito,Ent. Nuevo Sacrificio-Malpasito,camion_5_ejes,107.0
Malpasito,Malpasito-Raudales,camion_5_ejes,94.0
Ocozocoautla (Ocuilapa),Ent. Raudales-Ent. Ocozocoautla,camion_5_ejes,198.0
Villagran,Villagran-Salamanca,camion_5_ejes,118.0
Ing. Francisco Velasco DurÃ¡n,Cuernavaca-Pte de Ixtla,camion_5_ejes,156.0
Alpuyeca,Alpuyeca-Pte de Ixtla,camion_5_ejes,36.0
Cerro Gordo,Celaya-Ent. Cerro Gordo,camion_5_ejes,175.0
Cerro Gordo,Ent. Cerro Gordo-Irapuato,camion_5_ejes,149.0
Cerro Gordo,Ent. Cerro Gordo-Salamanca,camion_5_ejes,77.0
San Marcos Bis,Mexico-Circuito Exterior Mexiquense,camion_5_ejes,63.0
Nodo Popotla,La Mision-Corredor 2000,camion_5_ejes,84.0
Lagos de Moreno,Lagos de Moreno - Villa de Arriaga,camion_5_ejes,332.0
Ozumba,Amecameca - Nepantla,camion_5_ejes,113.0
Aeropuerto Los Cabos,San Jose del Cabo-Aeropuerto Los Cabos,camion_5_ejes,135.0
